id,date,source,transaction,transaction_group,category,category_group,area,area_group,price_usd,price_text,size_m2,land_dunum,floor,price_per_m2,score,has_photos,tags,parse_confidence,needs_review,raw_text
4bfa5d15b5,2026-08-17,uploaded WhatsApp dump Aug 5-25,بيع,بيع,شقة/سكني,سكني,الميسات,الميسات,400000.0,400 الف,300.0,,"بلاطة كاملة, طابق رابع",1333.33,10,True,طابو أخضر; سطح; صور,high,False,"للبيع شقه🎯
طلعة الميسات 
بلاطه كامله
قبل جامع ابو النور
مساحه 300 متر
مع السطح مساحه 300 متر ورقه طابو لحالها
7 غرف
بناء اربع طوابق
الاتجاهات قبلي شرقي
الكسوة قديمه نضيفه
طابق رابع
طابو اخضر 2400 سهم
المطلوب 400 الف منهي
يوجد صور🎯"
cba42fbd5f,2026-08-17,uploaded WhatsApp dump Aug 5-25,بيع,بيع,شقة/سكني,سكني,الميسات,الميسات,400000.0,400 الف$,165.0,,,2424.24,9,True,فيديو; برندا,high,False,"للبيع شقه🌷
اكساء سوبر ديلوكس 
ميسات 
3 غرف نوم و3 حمامات
غرفة سفرة وغرفة جلوس وصالون و3 برندات
4 اتجاهات
طلوع 6 درجات
مساحة 165 متر 
مع التراس معمر غرفة النوم رقم 3
مع طاقه وشوفاج
المطلوب 400 الف$
مع الفرش
يوجد فيديو للزبون🎯"
297c0a69fa,2026-08-17,uploaded WhatsApp dump Aug 5-25,بيع,بيع,شقة/سكني,سكني,شارع بغداد,شارع بغداد,185000.0,مطلوب 185,170.0,,طابق 3,1088.24,10,True,سطح; فيديو; برندا,high,False,"منزل للبيع🎯🎯
 بشارع بغدادطابق ٣مع السطح مساحة ١٧٠متر٣غرف وصالون 
وحمامين وبرنداعالشارع وبرنداخلفية كسوة قديمة طابو ٢٤٠٠سهم 
مطلوب ١٨٥وبازار
يوجدفيديو للزبون🎯🎯"
a7873f9a93,2026-08-17,uploaded WhatsApp dump Aug 5-25,بيع,بيع,شقة/سكني,سكني,شارع الثورة,شارع الثورة,225000.0,225 الف,175.0,,"قبو, طابق 2",1285.71,10,True,سطح; قبو; فيديو; برندا,high,False,"بيت للبيع ⚘️
بشارع الثورة خلف الطابو 
بيطل عشارع الثورة 
عند فندق الدارة 
عندي بيت مساحه ١٧٥ متر شرقي قبلي غربي 
ط٢ كسوة جيدة
يوجد حصة بالسطح وحصة بالقبو 
برندا عدد ٢
٣ نوم و٣ صالونات وغرفة موزع 
كسوة جيدة 
مطلوب ٢٢٥ الف  
يوجد فيديو⚘️"
1b26209bc5,2026-08-17,uploaded WhatsApp dump Aug 5-25,إيجار,إيجار,تجاري,محل تجاري,الميسات,الميسات,550.0,السعر 550,30.0,,,,8,False,صور,high,False,"للاجار محل الميسات اول طلعة الميسات
مطل عل شارع العام مع وجيبه كبيرة لسيارات  
المساحة ٣٠ متر مع سقيفه على المساحته والمحل جاهز ومنفوض حديثا 
واجهة سكريت 
السعر 550  دولار بل شهر 
دفع سنتين سلف 
لايوجد مدخنة 
لايوجد صور"
f9b63430c9,2026-08-17,uploaded WhatsApp dump Aug 5-25,بيع,بيع,شقة/سكني,سكني,برزة,برزة,90000.0,90 الف دولار,90.0,,طابق 2,1000.0,10,True,سطح; مصعد; فيديو,high,False,"للبيع شقة🌺
 مساكن برزة قرب فلافل على كيفك وجامع الحسنين
مساحة 90 متر 
طابق 2
تقسيم غرفتين وصالون ومنافع 
كسوة ممتازة
طابو اسهم 
اتجاه شرقي 
لايوجد مصعد سطح مشترك 
السعر 90 الف دولار
يوجد فيديو🌺"
7310c829e5,2026-08-17,uploaded WhatsApp dump Aug 5-25,بيع/إيجار,بيع/إيجار,تجاري,محل تجاري,القصور,القصور,500000.0,500الف $,44.0,,,11363.64,9,True,صور,high,False,"محل بساحة القصور🎯🎯 مباشرة بيع اواجار مساحة ٤٤متر لايوجد مدخنة فروغ وملك طابو 
اجار ٢٥الف سنوي
مبيع ٥٠٠الف $🎯🎯"
2f63146f04,2026-08-16,uploaded WhatsApp dump Aug 5-25,بيع,بيع,شقة/سكني,سكني,شارع أسد الدين,شارع أسد الدين,180000.0,مطلوب 180,130.0,,طابق 4,1384.62,10,True,طابو أخضر; فيديو; برندا; طاقة,high,False,"للبيع 🎯🎯
منزل اسد الدين اطلالة على ابن العميد 
3 غرف وصالون كبير ..وغرفة غسيل 
برندا عدد 2 ..
مساحة 130م ..طابو اخضر 
طابق 4 اصنصير خدمة كاملة 
طاقه شمسية للماء
مطلوب ١٨٠
كسوة جيدة جدا
يوجد فيديو🎯🎯"
a428b0c0db,2026-08-16,uploaded WhatsApp dump Aug 5-25,بيع,بيع,شقة/سكني,سكني,القصور,القصور,140000.0,140 الف,115.0,,"ملحق, طابق 4",1217.39,10,True,طابو أخضر; سطح; مصعد; صور,high,False,"للبيع منزل 
🌈🌈🌈🌈🌈
 ملحق مع السطح 
مقابل كازية القصور 
طابق 4 
اتجاه غربي اطلالة على شارع 
 شمالي على بناء 
لايوجد مصعد 
دراج نظام مريح 
المساحة 115م
الوصف 4 غرف وصالون 
نوع الاكساء جيد 
نوع الملكية طابو اخضر 2400 بصمة وحدة 
السعر 140 الف وسكرة ناعمة جدا 
مرافق عامة جاهزة
Read more"
f89200047c,2026-08-16,uploaded WhatsApp dump Aug 5-25,بيع,بيع,تجاري,محل تجاري,المالكي,المالكي,650000.0,650 الف $,380.0,,,1710.53,9,False,صور; تجاري; مدخل مستقل; مسبح,high,False,"للبيع بسعر مناسب 
🪷🪷🪷🪷
 منزل في المالكي مساحة اجمالية ٣٨٠ متر ( مساحة خارجية ٢٠٠ م + ١٧٠ م داخلي كسوة ممتازة مع مسبح يوجد مدخل مستقل و مدخل بناء يصلح للسكن او شركات تجارية السعر ٦٥٠ الف $ و بازار
لا يوجد صور
🪷🪷🪷🪷"
